OBJECTID,BASINID,COUNT,AREA,SUM
619,629,7,0.0121528,14895.3720703
620,630,62,0.1076389,594194.8750000
621,631,1,0.0017361,32019.9023438
622,632,53,0.0920139,1911774.2500000
623,633,145,0.2517361,1018348.1875000
624,634,16,0.0277778,167404.9843750
625,635,9,0.0156250,32437.1406250
626,636,13,0.0225694,43874.1171875
627,637,153,0.2656250,1405091.0000000
628,638,375,0.6510417,836626.6250000
629,639,79,0.1371528,203060.3281250
630,640,66,0.1145833,109211.2578125
631,641,19,0.0329861,39826.0000000
632,642,71,0.1232639,601234.6875000
633,643,14,0.0243056,51906.1328125
634,644,229,0.3975694,704147.2500000
635,645,12,0.0208333,128841.2578125
636,646,49,0.0850694,2688853.5000000
637,647,4,0.0069444,14650.0000000
638,648,72,0.1250000,362573.6875000
639,649,167,0.2899306,698978.0000000
640,650,27,0.0468750,75574.8281250
641,651,10,0.0173611,28554.0253906
642,652,10,0.0173611,18988.4433594
643,653,15,0.0260417,52703.8320313
644,654,5,0.0086806,9985.9765625
645,655,156,0.2708333,296876.0625000
646,656,32,0.0555556,76313.3359375
647,657,25,0.0434028,580623.7500000
648,658,268,0.4652778,980478.5625000
649,659,124,0.2152778,639107.9375000
650,660,184,0.3194444,404789.7500000
651,661,15,0.0260417,34111.4257813
652,662,384,0.6666667,315281.7500000
653,663,12,0.0208333,7099.3779297
654,664,137,0.2378472,155922.0156250
655,665,1,0.0017361,302.3108521
656,666,31,0.0538194,54347.3046875
657,667,4,0.0069444,35300.5664063
658,668,176,0.3055556,1292492.5000000
659,669,84,0.1458333,121426.3281250
660,670,5,0.0086806,4069.2829590
661,671,25,0.0434028,497.0525208
662,673,4,0.0069444,58.8211098
663,674,3,0.0052083,24.6927948
664,675,17,0.0295139,1080.6507568
665,676,16,0.0277778,839.1599731
666,677,49,0.0850694,3811.3945313
667,678,9,0.0156250,551.2521362
668,679,91,0.1579861,6380.5063477
669,680,32,0.0555556,2103.0129395
670,681,19,0.0329861,244.3774567
671,682,5,0.0086806,50.4546890
672,683,78,0.1354167,11166.3876953
673,684,15,0.0260417,25050.0859375
674,685,8,0.0138889,12992.7812500
675,686,81,0.1406250,114551.7578125
676,687,426,0.7395833,144929.1562500
677,689,106,0.1840278,4294.5336914
678,690,12,0.0208333,53256.5703125
679,691,1,0.0017361,0.0000000
680,692,46,0.0798611,60880.4921875
681,693,85,0.1475694,54412.4882813
682,694,162,0.2812500,103077.6796875
683,695,1,0.0017361,27.4290848
684,696,1,0.0017361,16.8413143
685,697,1,0.0017361,5.1427360
686,698,25,0.0434028,129.0407867
687,699,9,0.0156250,163.5834045
688,700,5,0.0086806,30.4368210
689,701,2,0.0034722,10.1041975
690,702,198,0.3437500,122.8912659
691,703,74,0.1284722,45.8624115
692,704,90,0.1562500,55.5792160
693,705,33,0.0572917,20.3884907
694,707,176,0.3055556,110.1554871
695,708,36,0.0625000,22.5018501
696,709,44,0.0763889,27.5448246
697,710,1,0.0017361,0.6267090
698,711,22,0.0381944,18.4670200
699,712,5,0.0086806,3.9194341
700,713,38,0.0659722,36.1330261
701,714,3,0.0052083,1.8778365
702,715,129,0.2239583,1301.3502197
703,716,132,0.2291667,1337.9704590
704,717,63,0.1093750,394.2467346
705,719,60,0.1041667,608.8761597
706,720,11,0.0190972,111.9894104
707,721,75,0.1302083,763.7949829
708,722,8,0.0138889,81.3941040
709,724,102,0.1770833,1026.2348633
710,725,34,0.0590278,344.6972351
711,726,55,0.0954861,555.8486328
712,727,36,0.0625000,173.4322662
713,728,18,0.0312500,86.8848877
714,729,5,0.0086806,24.1553593
715,730,3,0.0052083,14.5059376
716,732,30,0.0520833,172.7482910
717,733,63,0.1093750,407.4606628
718,734,113,0.1961806,760.7641602
719,736,61,0.1059028,294.0141602
720,737,2,0.0034722,9.6261921
721,738,90,0.1562500,436.5997620
722,739,37,0.0642361,824.6361084
723,740,3,0.0052083,106.3091583
724,741,45,0.0781250,403.2362061
725,742,47,0.0815972,228.7750244
726,745,92,0.1597222,114.9543457
727,746,2,0.0034722,2.5025916
728,747,5,0.0086806,6.2595520
729,748,5,0.0086806,357.7260437
730,749,1,0.0017361,72.6420135
731,750,30,0.0520833,1613.1923828
732,752,6,0.0104167,41.1615028
